LEAID	LEA_NAME	ST_NAME	LEA_CWIFTEST	LEA_CWIFTSE
0503750	Cabot Public Schools	Arkansas	0.835	0.032
0503770	Caddo Hills School District	Arkansas	0.732	0.027
0503840	Calico Rock School District	Arkansas	0.743	0.046
0503960	Carlisle School District	Arkansas	0.835	0.032
0504020	Westside Consolidated School District	Arkansas	0.791	0.023
0504050	Cave City School District	Arkansas	0.816	0.028
0504080	Cedarville School District	Arkansas	0.776	0.037
0504110	Genoa Central School District	Arkansas	0.838	0.035
0504170	White County Central School District	Arkansas	0.785	0.05
0504200	Charleston School District	Arkansas	0.79	0.03
0504350	Clarendon School District	Arkansas	0.861	0.041
0504370	Rector School District	Arkansas	0.801	0.033
0504380	Clarksville School District	Arkansas	0.809	0.035
0504410	Clinton School District	Arkansas	0.732	0.027
0504560	Concord Public Schools	Arkansas	0.849	0.048
0504590	Conway Public Schools	Arkansas	0.837	0.03
0504680	Cotter School District	Arkansas	0.743	0.046
0504740	County Line School District	Arkansas	0.757	0.025
0504800	Crossett School District	Arkansas	0.865	0.031
0504860	Cutter-Morning Star School District	Arkansas	0.832	0.032
0504890	Danville School District	Arkansas	0.732	0.027
0504930	Dardanelle Public Schools	Arkansas	0.732	0.027
0504980	Decatur School District	Arkansas	1.089	0.024
0505170	Dermott School District	Arkansas	0.861	0.041
0505190	Des Arc Public Schools	Arkansas	0.861	0.041
0505340	Dierks School District	Arkansas	0.903	0.05
0505430	Dover School District	Arkansas	0.809	0.035
0505470	Drew Central School District	Arkansas	0.861	0.041
0505500	Dumas School District	Arkansas	0.855	0.034
0505550	Earle School District	Arkansas	0.855	0.033
0505580	East End School District	Arkansas	0.736	0.026
0505680	El Dorado School District	Arkansas	0.921	0.063
0505760	Elkins School District	Arkansas	0.892	0.017
0505850	England School District	Arkansas	0.835	0.032
0505970	Eureka Springs School District	Arkansas	0.776	0.037
0506060	Camden Fairview School District	Arkansas	0.908	0.054
0506090	Farmington School District	Arkansas	0.892	0.017
0506120	Fayetteville School District	Arkansas	0.892	0.017
0506150	Flippin School District	Arkansas	0.776	0.037
0506210	Fordyce School District	Arkansas	0.865	0.031
0506240	Foreman School District	Arkansas	0.838	0.035
0506270	Forrest City School District	Arkansas	0.861	0.041
0506330	Fort Smith Public Schools	Arkansas	0.847	0.025
